title,author,date,abstract,column,url
OPINION: Accessing my online exam should not be harder than my actual exam,Sean Fagan,"March 22, 2021",N/A,Opinion,https://wildcat.arizona.edu/111591/opinions/opinion-accessing-my-online-exam-should-not-be-harder-than-my-actual-exam/
"OPINION: Women’s gymnastics is so amazing, everyone should watch it",Sean Fagan,"March 21, 2021",N/A,Opinion,https://wildcat.arizona.edu/100026/opinions/opinion-womens-gymnastics-is-so-amazing-everyone-should-watch-it/
"OPINION: To truly fight sexism, we have to stop accepting it",Lauren Borelli,"March 19, 2021",N/A,Opinion,https://wildcat.arizona.edu/102397/opinions/opinion-to-truly-fight-sexism-we-have-to-stop-accepting-it/
OPINION: Love myself? That’s much easier said than done.,Selena Kuikahi,"March 19, 2021",N/A,Opinion,https://wildcat.arizona.edu/102662/opinions/opinion-love-myself-thats-much-easier-said-than-done/
OPINION: J.J. Watt is an Arizona Cardinal. So what?,Sean Fagan,"March 4, 2021",N/A,Opinion,https://wildcat.arizona.edu/104419/opinions/opinion-j-j-watt-is-an-arizona-cardinal-so-what/
OPINION: Why Sean Miller’s time in Arizona should be coming to an end soon,Ryan Wohl,"March 3, 2021",N/A,Opinion,https://wildcat.arizona.edu/119740/opinions/opinion-why-sean-millers-time-in-arizona-should-be-coming-to-an-end-soon/
OPINION: Who is to blame for the fall of FC Barcelona?,Bryan Savic,"March 3, 2021",N/A,Opinion,https://wildcat.arizona.edu/135597/opinions/opinion-who-is-to-blame-for-the-fall-of-fc-barcelona/
"OPINION: Women’s college sports are important, and these ladies deserve more credit for what they do",Sean Fagan,"March 1, 2021",N/A,Opinion,https://wildcat.arizona.edu/141377/opinions/opinion-womens-college-sports-are-important-and-these-ladies-deserve-more-credit-for-what-they-do/
OPINION: Arizona needs to give Sean Miller a contract extension,Jake Faigus,"February 28, 2021",N/A,Opinion,https://wildcat.arizona.edu/131004/opinions/opinion-arizona-needs-to-give-sean-miller-a-contract-extension/
OPINION: Pandemic hypocrisy is getting out of hand,Andrea Moreno,"February 23, 2021",N/A,Opinion,https://wildcat.arizona.edu/138863/opinions/opinion-pandemic-hypocrisy-is-getting-out-of-hand/
OPINION: The Los Angeles Lakers are going to be just fine,Sean Fagan,"February 21, 2021",N/A,Opinion,https://wildcat.arizona.edu/105156/opinions/opinion-the-los-angeles-lakers-are-going-to-be-just-fine/
OPINION: It’s time for 2K Sports to bring back NFL 2K,Bryan Savic,"February 17, 2021",N/A,Opinion,https://wildcat.arizona.edu/118425/opinions/opinion-its-time-for-2k-sports-to-bring-back-nfl-2k/
OPINION: What more do you want from Tom Brady?,Sean Fagan,"February 15, 2021",N/A,Opinion,https://wildcat.arizona.edu/142728/opinions/opinion-what-more-do-you-want-from-tom-brady/
OPINION: Stop normalizing eating disorders on college campuses,Payton Toomey,"February 14, 2021",N/A,Opinion,https://wildcat.arizona.edu/114732/opinions/opinion-stop-normalizing-eating-disorders-on-college-campuses/
"OPINION: Student debt relief isn’t a privilege, it’s an escape from society’s greatest trap",Lauren Borelli,"February 11, 2021",N/A,Opinion,https://wildcat.arizona.edu/100585/opinions/opinion-student-debt-relief-isnt-a-privilege-its-an-escape-from-societys-greatest-trap/
OPINION: The 2020 NFL season brought some sense of normalcy during these troubling times,Seth Litwin,"February 11, 2021",N/A,Opinion,https://wildcat.arizona.edu/121375/opinions/opinion-the-2020-nfl-season-brought-some-sense-of-normalcy-during-these-troubling-times/
OPINION: We ask women to accept an absurd reality,Andrea Moreno,"February 11, 2021",N/A,Opinion,https://wildcat.arizona.edu/99096/opinions/opinion-we-ask-women-to-accept-an-absurd-reality/
OPINION: All I see is dollar signs — but not going to student-athletes,Sean Fagan,"February 9, 2021",N/A,Opinion,https://wildcat.arizona.edu/128339/opinions/opinion-all-i-see-is-dollar-signs-but-not-going-to-student-athletes/
ART IS ACTIVISM: Documenting history with local artist Robbie Lee Harris,Selena Kuikahi,"February 7, 2021",N/A,Opinion,https://wildcat.arizona.edu/125929/arts/art-is-activism-documenting-history-with-local-artist-robbie-lee-harris/
OPINION: It’s time to save our democracy,Aidan Rhodes,"February 6, 2021",N/A,Opinion,https://wildcat.arizona.edu/101647/opinions/opinion-its-time-to-save-our-democracy/
"OPINION: Jedd Fisch is the right man for the job, despite previous skepticism",Jake Faigus,"January 15, 2021",N/A,Opinion,https://wildcat.arizona.edu/117571/opinions/opinion-jedd-fisch-is-the-right-man-for-the-job-despite-previous-skepticism/
OPINION: Stuck in the U.S. for the holidays: A reality for many international students,Diana Ramos,"December 18, 2020",N/A,Opinion,https://wildcat.arizona.edu/107909/arts/opinion-stuck-in-the-u-s-for-the-holidays-a-reality-for-many-international-students/
This is My Opinion!: the DW Opinions podcast,Opinions Desk,"December 14, 2020",N/A,Opinion,https://wildcat.arizona.edu/143854/opinions/this-is-my-opinion-the-dw-opinions-podcast/
"TOPIC OF THE WEEK: What movies, songs or events make the holiday season brightest for you?",Selena Kuikahi,"December 14, 2020",N/A,Opinion,https://wildcat.arizona.edu/105000/opinions/topic-of-the-week-what-movies-songs-or-events-make-the-holiday-season-brightest-for-you/
OPINION: Should we separate art from artists?,Payton Toomey,"December 13, 2020",N/A,Opinion,https://wildcat.arizona.edu/118459/opinions/opinion-should-we-separate-art-from-artists/
OPINION: Understanding the obesity epidemic,Andrea Moreno,"December 11, 2020",N/A,Opinion,https://wildcat.arizona.edu/125103/opinions/opinion-understanding-the-obesity-epidemic/
EDITORIAL: Media literacy and its essentiality to a functioning democracy,Daily Wildcat Opinions Board,"December 8, 2020",N/A,Opinion,https://wildcat.arizona.edu/100685/opinions/editorial-media-literacy-and-its-essentiality-to-a-functioning-democracy/
OPINION: Apparently equality is a really big ask for nations that champion “freedom”,Lauren Borelli,"December 6, 2020",N/A,Opinion,https://wildcat.arizona.edu/105943/opinions/opinion-apparently-equality-is-a-really-big-ask-for-nations-that-champion-freedom/
"OPINION: In order to fix Thanksgiving, we must acknowledge and teach its blood-stained origin",Aidan Rhodes,"December 2, 2020",N/A,Opinion,https://wildcat.arizona.edu/123769/opinions/opinion-in-order-to-fix-thanksgiving-we-must-acknowledge-and-teach-its-blood-stained-origin/
OPINION: Vaccine skepticism needs to stop before more people die,Payton Toomey,"December 2, 2020",N/A,Opinion,https://wildcat.arizona.edu/133585/opinions/opinion-vaccine-skepticism-needs-to-stop-before-more-people-die/
OPINION: ‘Defund the police’ and the case for engaging in a national discourse,Aidan Rhodes,"November 28, 2020",N/A,Opinion,https://wildcat.arizona.edu/110817/opinions/opinion-defund-the-police-and-the-case-for-engaging-in-a-national-discourse/
OPINION: Political dialogue is essential to a functioning democracy,Payton Toomey,"November 25, 2020",N/A,Opinion,https://wildcat.arizona.edu/119117/opinions/opinion-political-dialogue-is-essential-to-a-functioning-democracy/
"OPINION: Stop saying ‘third wave,’ we never got through the first one",Lauren Borelli,"November 19, 2020",N/A,Opinion,https://wildcat.arizona.edu/129376/opinions/opinion-stop-saying-third-wave-we-never-got-through-the-first-one/
OPINION: Toxic election misinformation is damaging the election process,Payton Toomey,"November 13, 2020",N/A,Opinion,https://wildcat.arizona.edu/114157/opinions/opinion-toxic-election-misinformation-is-damaging-the-election-process/
OPINION: I’m sick of the repetitive garbage loop that is the U.S. news cycle,Lauren Borelli,"November 11, 2020",N/A,Opinion,https://wildcat.arizona.edu/109579/opinions/opinion-im-sick-of-the-repetitive-garbage-loop-that-is-the-u-s-news-cycle/
OPINION: The cost of being a student in America,Andrea Moreno,"November 10, 2020",N/A,Opinion,https://wildcat.arizona.edu/107921/opinions/opinion-the-cost-of-being-a-student-in-america/
OPINION: I am tired of our presidential race being a reality TV freak show,Lauren Borelli,"November 2, 2020",N/A,Opinion,https://wildcat.arizona.edu/108549/opinions/opinion-i-am-tired-of-our-presidential-race-being-a-reality-tv-freak-show/
OPINION: More work does not equal more learning,Andrea Moreno,"October 26, 2020",N/A,Opinion,https://wildcat.arizona.edu/111136/opinions/opinion-more-work-does-not-equal-more-learning/
"OPINION: Femininity is not a bad thing, and needs to stop being treated as taboo",Geraldine Espinosa,"October 21, 2020",N/A,Opinion,https://wildcat.arizona.edu/106199/opinions/opinion-femininity-is-not-a-bad-thing-and-needs-to-stop-being-treated-as-taboo/
"OPINION: An answer to your burning question about mental health through the pandemic — no, you are not alone",Andrea Moreno,"October 19, 2020",N/A,Opinion,https://wildcat.arizona.edu/99591/opinions/opinion-an-answer-to-your-burning-question-about-mental-health-through-the-pandemic-no-you-are-not-alone/
OPINION: Vote blue no matter who part 2: Save the nation,Kayleigh Cook,"October 17, 2020",N/A,Opinion,https://wildcat.arizona.edu/126418/opinions/opinion-vote-blue-no-matter-who-part-2-save-the-nation/
Topic of the week: What’s at stake for you in this election?,Kayleigh Cook,"October 15, 2020",N/A,Opinion,https://wildcat.arizona.edu/100841/opinions/topic-of-the-week-whats-at-stake-for-you-in-this-election/
OPINION: Just vote vs. vote blue,Pascal Albright,"October 13, 2020",N/A,Opinion,https://wildcat.arizona.edu/114288/opinions/opinion-just-vote-vs-vote-blue/
OPINION: The war on critical race theory silences minority experiences to preserve white ignorance,Geraldine Espinosa,"October 8, 2020",N/A,Opinion,https://wildcat.arizona.edu/112321/opinions/opinion-the-war-on-critical-race-theory-silences-minority-experiences-to-preserve-white-ignorance/
OPINION: Why are so many players leaving Arizona football?,Ryan Wohl,"October 6, 2020",N/A,Opinion,https://wildcat.arizona.edu/126370/opinions/opinion-why-are-so-many-players-leaving-arizona-football/
"ART IS ACTIVISM: Student-artist on online perception, authenticity and healing",Selena Kuikahi,"October 4, 2020",N/A,Opinion,https://wildcat.arizona.edu/126091/arts/art-is-activism-student-artist-on-online-perception-authenticity-and-healing/
EDITORIAL: The DW is in full allyship of the LGBTQ+ community,The Daily Wildcat Editorial Staff,"October 3, 2020",N/A,Opinion,https://wildcat.arizona.edu/106253/opinions/editorial-the-dw-is-in-full-allyship-of-the-lgbtq-community/
OPINION: Why ethnic studies are vital,Geraldine Espinosa,"September 20, 2020",N/A,Opinion,https://wildcat.arizona.edu/111901/opinions/opinion-why-ethnic-studies-are-vital/
OPINION: The news is biased against Donald Trump. That’s a good thing.,Aidan Rhodes,"September 14, 2020",N/A,Opinion,https://wildcat.arizona.edu/115489/opinions/opinion-the-news-is-biased-against-donald-trump-thats-a-good-thing/
OPINION: Voter suppression is not a new problem in America,Geraldine Espinosa,"September 14, 2020",N/A,Opinion,https://wildcat.arizona.edu/140526/opinions/opinion-voter-suppression-is-not-a-new-problem-in-america/
OPINION: Disney’s “Mulan” unsurprisingly causes controversy in the film world,Lauren Borelli,"September 13, 2020",N/A,Opinion,https://wildcat.arizona.edu/106227/opinions/opinion-disneys-mulan-unsurprisingly-causes-controversy-in-the-film-world/
OPINION: Why the COVID-19 Antibody Test is Useless on Campus,Andrea Moreno,"September 7, 2020",N/A,Opinion,https://wildcat.arizona.edu/110011/opinions/opinion-why-the-covid-19-antibody-test-is-useless-on-campus/
OPINION: Is race a factor?,Geraldine Espinosa,"September 7, 2020",N/A,Opinion,https://wildcat.arizona.edu/105984/opinions/opinion-is-race-a-factor/
OPINION: Greek life organizations are rapidly decreasing the likelihood of continued in-person classes,Lauren Borelli,"September 4, 2020",N/A,Opinion,https://wildcat.arizona.edu/108172/opinions/opinion-greek-life-organizations-are-rapidly-decreasing-the-likelihood-of-continued-in-person-classes/
"TOPIC OF THE WEEK: Campus etiquette, transportation options and internship opportunities 101",Pascal Albright,"July 29, 2020",N/A,Opinion,https://wildcat.arizona.edu/146109/opinions/topic-of-the-week-campus-etiquette-transportation-options-and-internship-opportunities-101/
Letter from the Editor: To the freshman class of fall 2020,Sam Burdette,"July 25, 2020",N/A,Opinion,https://wildcat.arizona.edu/118307/opinions/letter-from-the-editor-to-the-freshman-class-of-fall-2020/
ART IS ACTIVISM: March 4 Justice Tucson and celebrating Black artists,Selena Kuikahi,"July 15, 2020",N/A,Opinion,https://wildcat.arizona.edu/110427/opinions/art-is-activism-march-4-justice-tucson-and-celebrating-black-artists/
OPINION: Change starts at home: The young activists behind Never Stay Silent,Selena Kuikahi,"July 7, 2020",N/A,Opinion,https://wildcat.arizona.edu/111191/opinions/opinion-change-starts-at-home-the-young-activists-behind-never-stay-silent/
OPINION: Cop Shows are Changing Your Mind. Here’s How,Katie Beauford,"June 25, 2020",N/A,Opinion,https://wildcat.arizona.edu/111049/opinions/opinion-cop-shows-are-changing-your-mind-heres-how/
"OPINION: Supreme x Leigh Bowery to end homophobia (Oh, and sexism)",Selena Kuikahi,"June 25, 2020",N/A,Opinion,https://wildcat.arizona.edu/138368/arts/opinion-supreme-x-leigh-bowery-to-end-homophobia-oh-and-sexism/
TOPIC OF THE WEEK: Thoughts about bars and restaurants reopening,Ariday Sued,"May 31, 2020",N/A,Opinion,https://wildcat.arizona.edu/98219/opinions/topic-of-the-week-thoughts-about-bars-and-restaurants-reopening/
Letter from the editor: To the class of 2020…,Eric Wise,"May 13, 2020",N/A,Opinion,https://wildcat.arizona.edu/107974/opinions/letter-from-the-editor-to-the-class-of-2020/
OPINION: Tucson’s admirable water conservation efforts,Quinn McVeigh,"April 18, 2020",N/A,Opinion,https://wildcat.arizona.edu/106884/opinions/opinion-tucsons-admirable-water-conservation-efforts/
OPINION: Staying sane over video calls,Sam Burdette,"April 14, 2020",N/A,Opinion,https://wildcat.arizona.edu/104942/opinions/opinion-staying-sane-over-video-calls/
OPINION: Close everything,Amit Syal,"March 18, 2020",N/A,Opinion,https://wildcat.arizona.edu/109389/opinions/opinion-close-everything/
"OPINION: Weinstein’s lawyer isn’t a bad woman, she’s a bad person",Selena Kuikahi,"February 26, 2020",N/A,Opinion,https://wildcat.arizona.edu/100133/opinions/opinion-weinsteins-lawyer-isnt-a-bad-woman-shes-a-bad-person/
OPINION: Beautifying gentrification in Tucson,Nathan Gosnell,"December 2, 2019",N/A,Opinion,https://wildcat.arizona.edu/113738/arts/opinion-beautifying-gentrification-in-tucson/
OPINION: Restricting high-rise development can protect the rest of Tucson’s housing,Nathan Gosnell,"November 11, 2019",N/A,Opinion,https://wildcat.arizona.edu/105449/opinions/opinion-restricting-high-rise-development-can-protect-the-rest-of-tucsons-housing/
OPINION: Republicans are right about Tucson elections,Randall Eck,"October 25, 2019",N/A,Opinion,https://wildcat.arizona.edu/128037/opinions/opinion-republicans-are-right-about-tucson-elections/
OPINION: State funding would help more students afford college,Nathan Gosnell,"October 7, 2019",N/A,Opinion,https://wildcat.arizona.edu/99732/opinions/opinion-state-funding-would-help-more-students-afford-college/
OPINION: We need more polling places on campus,Kayleigh Cook,"October 7, 2019",N/A,Opinion,https://wildcat.arizona.edu/139096/opinions/opinion-we-need-more-polling-places-on-campus/
GUEST LETTER: UA vs. UCLA home game bacchanalia! MADD where are you?,Francis Saitta,"September 27, 2019",N/A,Opinion,https://wildcat.arizona.edu/130522/opinions/guest-letter-ua-vs-ucla-home-game-bacchanalia-madd-where-are-you/
GUEST LETTER: Salaried Athletics,Francis Saitta,"September 27, 2019",N/A,Opinion,https://wildcat.arizona.edu/104960/opinions/guest-letter-salaried-athletics/
OPINION: Hidden treasures the UA offers for FREE,Anika Pasilis,"September 23, 2019",N/A,Opinion,https://wildcat.arizona.edu/110628/opinions/opinion-hidden-treasures-the-ua-offers-for-free/
OPINION: Study Abroad this school year,Mikayla Balmaceda,"September 23, 2019",N/A,Opinion,https://wildcat.arizona.edu/102249/opinions/opinion-study-abroad-this-school-year/
OPINION: Juul’s are the better alternative,Jack Cooper,"September 23, 2019",N/A,Opinion,https://wildcat.arizona.edu/109705/opinions/opinion-juuls-are-the-better-alternative/
OPINION: UA has an investment in deforestation,Kayleigh Cook,"September 22, 2019",N/A,Opinion,https://wildcat.arizona.edu/100095/opinions/opinion-ua-has-an-investment-in-deforestation/
Guest Letter: Race-ism and Community,Guest Letter: Julian Kunnie,"September 17, 2019",N/A,Opinion,https://wildcat.arizona.edu/113919/opinions/guest-letter-race-ism-and-community/
OPINION: All students rights and freedoms must be protected,Kayleigh Cook,"September 9, 2019",N/A,Opinion,https://wildcat.arizona.edu/107204/opinions/opinion-all-students-rights-and-freedoms-must-be-protected/
OPINION: Internships are an investment in your future,Jesse Tellez,"August 21, 2019",N/A,Opinion,https://wildcat.arizona.edu/128016/opinions/opinion-internships-are-an-investment-in-your-future/
Change happens when you go out to do it,Nicholas Trujillo,"August 21, 2019",N/A,Opinion,https://wildcat.arizona.edu/107426/opinions/change-happens-when-you-go-out-to-do-it/
"OPINION: Class of 2019, We did it!",Eddie Celaya,"May 7, 2019",N/A,Opinion,https://wildcat.arizona.edu/128349/opinions/opinion-class-of-2019-we-did-it/
"Letter from the Editor: It’s the end of an era, but the Wildcat legacy will live on",Jasmine Demers,"April 30, 2019",N/A,Opinion,https://wildcat.arizona.edu/121294/opinions/letter-from-the-editor-its-the-end-of-an-era-but-the-wildcat-legacy-will-live-on/
OPINION: Low club attendance may cause a decline in democracy?,Toni Marcheva,"April 22, 2019",N/A,Opinion,https://wildcat.arizona.edu/110408/opinions/opinion-low-club-attendance-may-cause-a-decline-in-democracy/
"OPINION: Game of Thrones, better than Harry Potter?",Anika Pasilis,"April 18, 2019",N/A,Opinion,https://wildcat.arizona.edu/113128/opinions/opinion-game-of-thrones-better-than-harry-potter/
GUEST LETTER: Why Amazon didn’t pick Tucson,Guest Letter: Craig Cantoni,"April 12, 2019",N/A,Opinion,https://wildcat.arizona.edu/109092/opinions/guest-letter-why-amazon-didnt-pick-tucson/
OPINION: The swamp takes what it calls its own: Ramos v. Louisiana,Chuck Valadez,"April 12, 2019",N/A,Opinion,https://wildcat.arizona.edu/101619/opinions/opinion-the-swamp-takes-what-it-calls-its-own-ramos-v-louisiana/
EDITORIAL: Free Speech needs to be defended by all,Daily Wildcat editorial board,"April 12, 2019",N/A,Opinion,https://wildcat.arizona.edu/111230/opinions/editorial-free-speech-needs-to-be-defended-by-all/
Column: The issue of free speech on campus,Maya Noto,"April 4, 2019",N/A,Opinion,https://wildcat.arizona.edu/124750/opinions/column-the-issue-of-free-speech-on-campus/
OPINION: Gentrification in Tucson,Anika Pasilis,"April 3, 2019",N/A,Opinion,https://wildcat.arizona.edu/106353/opinions/opinion-gentrification-in-tucson/
OPINION: Charges against student protesters are an affront to free speech,Claude Akins,"April 2, 2019",N/A,Opinion,https://wildcat.arizona.edu/123977/opinions/opinion-charges-against-student-protesters-are-an-affront-to-free-speech/
Should border patrol be on campus?,Alec Scott,"April 1, 2019",N/A,Opinion,https://wildcat.arizona.edu/146605/opinions/should-border-patrol-be-on-campus/
The real Arizona is competitive,Alec Scott,"April 1, 2019",N/A,Opinion,https://wildcat.arizona.edu/145300/opinions/the-real-arizona-is-competitive/
OPINION: Should gun manufactures be liable for criminal conduct,Chuck Valadez,"March 28, 2019",N/A,Opinion,https://wildcat.arizona.edu/101775/opinions/opinion-should-gun-manufactures-be-liable-for-criminal-conduct/
OPINIONS: Look up and let life consume you,Maya Noto,"March 28, 2019",N/A,Opinion,https://wildcat.arizona.edu/134033/opinions/opinions-look-up-and-let-life-consume-you/
GUEST LETTER: UA trademark licensing policy negatively affects student clubs,Guest Letter by David Klebosky,"March 26, 2019",N/A,Opinion,https://wildcat.arizona.edu/109061/opinions/guest-letter-ua-trademark-licensing-policy-negatively-affects-student-clubs/
OPINIONS: 2020 election: Too early to tell,Chuck Valadez,"March 26, 2019",N/A,Opinion,https://wildcat.arizona.edu/104743/opinions/opinions-2020-election-too-early-to-tell/
OPINIONS: The #MeToo Movement and how to stay safe,Danielle Morris,"March 26, 2019",N/A,Opinion,https://wildcat.arizona.edu/98385/opinions/opinions-the-metoo-movement-and-how-to-stay-safe/
Is it your responsibility to be sustainable?,Chuck Valadez,"March 25, 2019",N/A,Opinion,https://wildcat.arizona.edu/109090/opinions/is-it-your-responsibility-to-be-sustainable/
OPINION: Lay off the extra classes,Toni Marcheva,"March 21, 2019",N/A,Opinion,https://wildcat.arizona.edu/105901/opinions/opinion-lay-off-the-extra-classes/
OPINIONS: Bring back construction workers,Alec Scott,"March 21, 2019",N/A,Opinion,https://wildcat.arizona.edu/117910/opinions/opinions-bring-back-construction-workers/
"OPINIONS: Separating artists from their art, one victim at a time",Maya Noto,"March 21, 2019",N/A,Opinion,https://wildcat.arizona.edu/125474/opinions/opinions-separating-artists-from-their-art-one-victim-at-a-time/
Is there a price tag on acceptance?,Alec Scott,"March 18, 2019",N/A,Opinion,https://wildcat.arizona.edu/133369/opinions/is-there-a-price-tag-on-acceptance/
OPINIONS: Should student-athletes get paid?,Chuck Valadez,"March 14, 2019",N/A,Opinion,https://wildcat.arizona.edu/100662/opinions/opinions-should-student-athletes-get-paid/
OPINIONS: ENR2 looks very familiar!,Matthew Aguilar,"March 14, 2019",N/A,Opinion,https://wildcat.arizona.edu/112915/opinions/opinions-enr2-looks-very-familiar/
OPINIONS: A Girl’s Guide to Going Green,Maya Noto,"March 13, 2019",N/A,Opinion,https://wildcat.arizona.edu/101028/opinions/opinions-a-girls-guide-to-going-green/
OPINION: 7 Reasons why you can’t miss the Tucson Festival of Books,Ambur Wilkerson,"February 25, 2019",N/A,Opinion,https://wildcat.arizona.edu/111124/opinions/opinion-7-reasons-why-you-cant-miss-the-tucson-festival-of-books/
OPINION: Get Vaccinated,Alec Scott,"February 25, 2019",N/A,Opinion,https://wildcat.arizona.edu/124972/opinions/opinion-get-vaccinated/
"OPINION: The truth, ideally, would be free. It’s not",Maya Noto,"February 25, 2019",N/A,Opinion,https://wildcat.arizona.edu/110345/opinions/opinion-the-truth-ideally-would-be-free-its-not/
OPINION: Why it’s important to read for leisure,Mikayla Balmaceda,"February 25, 2019",N/A,Opinion,https://wildcat.arizona.edu/99670/opinions/opinion-why-its-important-to-read-for-leisure/
OPINION: Plus-sized in a small-minded world,Ambur Wilkerson,"February 19, 2019",N/A,Opinion,https://wildcat.arizona.edu/140354/opinions/opinion-plus-sized-in-a-small-minded-world/
OPINION: The rush to the 2020 election,Alec Scott,"February 18, 2019",N/A,Opinion,https://wildcat.arizona.edu/112289/opinions/opinion-the-rush-to-the-2020-election/
OPINION: How do you like your healthcare?,Danielle Morris,"February 15, 2019",N/A,Opinion,https://wildcat.arizona.edu/143396/opinions/opinion-how-do-you-like-your-healthcare/
OPINIONS: State of the Union Address through a student’s perspective,Toni Marcheva,"February 14, 2019",N/A,Opinion,https://wildcat.arizona.edu/119045/opinions/opinions-state-of-the-union-address-through-a-students-perspective/
Who are you celebrating this Valentine’s Day?,Mikayla Balmaceda,"February 13, 2019",N/A,Opinion,https://wildcat.arizona.edu/117264/opinions/who-are-you-celebrating-this-valentines-day/
OPINION: Protesting for a reason,Anika Pasilis,"February 12, 2019",N/A,Opinion,https://wildcat.arizona.edu/137987/opinions/opinion-protesting-for-a-reason/
OPINION: Is there a border crisis?,Alec Scott,"February 11, 2019",N/A,Opinion,https://wildcat.arizona.edu/129259/opinions/opinion-is-there-a-border-crisis/
OPINION: Hulu vs. Netflix,Mikayla Balmaceda,"February 11, 2019",N/A,Opinion,https://wildcat.arizona.edu/144413/opinions/opinion-hulu-vs-netflix/
OPINION: Diamond rings aren’t everything,Brianna Ali,"February 11, 2019",N/A,Opinion,https://wildcat.arizona.edu/106321/opinions/opinion-diamond-rings-arent-everything/
OPINION: Tired? You’re only 40 percent done!,Selena Kuikahi,"February 8, 2019",N/A,Opinion,https://wildcat.arizona.edu/143105/opinions/opinion-tired-youre-only-40-percent-done/
OPINION: Parking pet peeves,Ambur Wilkerson,"February 8, 2019",N/A,Opinion,https://wildcat.arizona.edu/129428/opinions/opinion-parking-pet-peeves/
TOPIC OF THE WEEK: How to stay engaged in school even when you want to give up,Alec Scott,"February 7, 2019",N/A,Opinion,https://wildcat.arizona.edu/136244/opinions/topic-of-the-week-how-to-stay-engaged-in-school-even-when-you-want-to-give-up/
OPINION: A Girl’s Guide to the Government Shutdown,Maya Noto,"February 5, 2019",N/A,Opinion,https://wildcat.arizona.edu/141574/opinions/opinion-a-girls-guide-to-the-government-shutdown/
Venezuela’s voice must be heard,Alec Scott,"February 5, 2019",N/A,Opinion,https://wildcat.arizona.edu/128809/opinions/venezuelas-voice-must-be-heard/
EDITORIAL: Visibility for women in STEM is vital,The Daily Wildcat Editorial Staff,"January 29, 2019",N/A,Opinion,https://wildcat.arizona.edu/114490/opinions/editorial-visibility-for-women-in-stem-is-vital/
"EDITORIAL: Our national parks need help, and it’s up to all of us",The Daily Wildcat Opinions Board,"January 12, 2019",N/A,Opinion,https://wildcat.arizona.edu/136405/opinions/editorial-our-national-parks-need-help-and-its-up-to-all-of-us/
COLUMN: What Hunter S. Thompson can teach us,Marisa Latzman,"December 11, 2018",N/A,Opinion,https://wildcat.arizona.edu/105042/opinions/column-what-hunter-s-thompson-can-teach-us/
Opinions: Letter to finals first-timers,Anika Pasilis,"December 6, 2018",N/A,Opinion,https://wildcat.arizona.edu/107607/opinions/opinions-letter-to-finals-first-timers/
"OPINION: Appointing Martha McSally is bad for Arizona, and for Martha McSally",Alec Scott,"December 4, 2018",N/A,Opinion,https://wildcat.arizona.edu/104389/opinions/opinion-appointing-martha-mcsally-is-bad-for-arizona-and-for-martha-mcsally/
OPINION: Finals are over – what now?,Alexis Richardson,"December 3, 2018",N/A,Opinion,https://wildcat.arizona.edu/114135/opinions/opinion-finals-are-over-what-now/
Correspondent view: Migrant caravan remains stalled at the border,Sasha Hartzell,"November 29, 2018",N/A,Opinion,https://wildcat.arizona.edu/145039/news/correspondent-view-migrant-caravan-remains-stalled-at-the-border/
OPINION: The FDA’s flavored e-cigarette half-ban will do nothing,Mikayla Balmaceda,"November 27, 2018",N/A,Opinion,https://wildcat.arizona.edu/112024/opinions/opinion-the-fdas-flavored-e-cigarette-half-ban-will-do-nothing/
Commentary: An overview of the First Step Act,Chuck Valadez,"November 20, 2018",N/A,Opinion,https://wildcat.arizona.edu/112032/opinions/commentary-an-overview-of-the-first-step-act/
TOPIC OF THE WEEK: Our favorite foods to feast on,Toni Marcheva,"November 19, 2018",N/A,Opinion,https://wildcat.arizona.edu/105515/opinions/topic-of-the-week-our-favorite-foods-to-feast-on/
OPINION: Birthright citizenship is important for the United States,Alec Scott,"November 14, 2018",N/A,Opinion,https://wildcat.arizona.edu/110717/opinions/opinion-birthright-citizenship-is-important-for-the-united-states/
OPINION: Hope for those who missed early voting: election-day voters might be better off,Alec Scott,"November 2, 2018",N/A,Opinion,https://wildcat.arizona.edu/107275/opinions/opinion-hope-for-those-who-missed-early-voting-election-day-voters-might-be-better-off/
CALL AND RESPONSE: Do we rely too much on technology?,Toni Marcheva,"November 2, 2018",N/A,Opinion,https://wildcat.arizona.edu/107704/opinions/call-and-response-do-we-rely-too-much-on-technology/
To the Honors College: Yuma still has its perks,Toni Marcheva,"October 28, 2018",N/A,Opinion,https://wildcat.arizona.edu/114245/opinions/to-the-honors-college-yuma-still-has-its-perks/
OPINION: Check yourself and how you talk about other people,Ariday Sued,"October 15, 2018",N/A,Opinion,https://wildcat.arizona.edu/106642/opinions/opinion-check-yourself-and-how-you-talk-about-other-people/
OPINION: Ideas for trimming the budget,Chuck Valadez,"October 10, 2018",N/A,Opinion,https://wildcat.arizona.edu/110990/opinions/opinion-ideas-for-trimming-the-budget/
GUEST LETTER: UA should include dental care in health insurance plans,Jessica Seline,"October 9, 2018",N/A,Opinion,https://wildcat.arizona.edu/113637/opinions/guest-letter-ua-should-include-dental-care-in-health-insurance-plans/
"With Kavanaugh appointment, Supreme Court loses lofty status",Eddie Celaya,"October 5, 2018",N/A,Opinion,https://wildcat.arizona.edu/128364/news/with-kavanaugh-appointment-supreme-court-loses-lofty-status/
GUEST LETTER: Why is this election important?,UA Young Democrats,"October 1, 2018",N/A,Opinion,https://wildcat.arizona.edu/101225/opinions/guest-letter-why-is-this-election-important/
